year,type,country,lat,lon,deaths,search_key
1978,Earthquake,Iran (Islamic Republic of),33.386,57.434,25000,iran (islamic republic of) earthquake
1978,Earthquake,Iran (Islamic Republic of),32.14,49.65,45,iran (islamic republic of) earthquake
1978,Earthquake,Mexico,16.01,-96.591,9,mexico earthquake
1979,Earthquake,Indonesia,-1.679,136.04,2,indonesia earthquake
1979,Earthquake,Indonesia,8.8,123.5,539,indonesia earthquake
1979,Earthquake,Indonesia,8.21 S,115.95 E,34,indonesia earthquake
1979,Earthquake,Indonesia,-7.656,108.252,26,indonesia earthquake
1979,Earthquake,Indonesia,-3.299,102.712,5,indonesia earthquake
1979,Earthquake,Indonesia,-8.39,115.889,32,indonesia earthquake
1979,Earthquake,Iran (Islamic Republic of),33.897,59.472,199,iran (islamic republic of) earthquake
1979,Earthquake,Iran (Islamic Republic of),33.918,59.741,350,iran (islamic republic of) earthquake
1979,Earthquake,Iran (Islamic Republic of),33.962,59.726,16,iran (islamic republic of) earthquake
1979,Earthquake,Italy,42.812,13.061,5,italy earthquake
1979,Volcanic activity,Italy,37.734,15.004,9,italy volcanic activity
1979,Earthquake,Mexico,17.813,-101.276,5,mexico earthquake
1979,Earthquake,Peru,-16.39,-72.658,13,peru earthquake
1980,Earthquake,India,32.913,75.633,13,india earthquake
1980,Earthquake,Iran (Islamic Republic of),34.587,50.652,20,iran (islamic republic of) earthquake
1980,Earthquake,Iran (Islamic Republic of),34.503,50.59,4,iran (islamic republic of) earthquake
1980,Earthquake,Iran (Islamic Republic of),35.4,51.26,26,iran (islamic republic of) earthquake
1980,Earthquake,Italy,40.914,15.366,4689,italy earthquake
1980,Earthquake,Japan,35.45,139.964,2,japan earthquake
1980,Earthquake,Mexico,32.2,-115.122,2,mexico earthquake
1980,Earthquake,Mexico,18.211,-98.24,65,mexico earthquake
1980,Earthquake,Nepal,29.598,81.092,100,nepal earthquake
1980,Earthquake,Peru,-13.347,-74.545,7,peru earthquake
1981,Earthquake,Indonesia,-4.576,139.232,306,indonesia earthquake
1981,Earthquake,Pakistan,35.693,73.594,250,pakistan earthquake
1981,Earthquake,Iran (Islamic Republic of),29.913,57.715,2000,iran (islamic republic of) earthquake
1981,Earthquake,Iran (Islamic Republic of),30.013,57.794,1200,iran (islamic republic of) earthquake
1981,Earthquake,Italy,37.67 N,12.47 E,0,italy earthquake
1981,Earthquake,Italy,41.051,14.601,12,italy earthquake
1981,Earthquake,Mexico,18.048,-102.084,3,mexico earthquake
1981,Earthquake,Pakistan,29.856,66.962,6,pakistan earthquake
1981,Earthquake,Peru,-13.166,-74.522,10,peru earthquake
1981,Earthquake,Peru,-13.144,-74.376,8,peru earthquake
1982,Earthquake,Indonesia,-8.405,123.08,13,indonesia earthquake
1982,Earthquake,Indonesia,4.374,97.755,0,indonesia earthquake
1982,Earthquake,Japan,42.158,142.361,110,japan earthquake
1982,Earthquake,Honduras,14.53 N,87.72 W,0,honduras earthquake
1982,Earthquake,Italy,43.164,12.586,0,italy earthquake
1982,Earthquake,Mexico,16.558,-98.358,9,mexico earthquake
1982,Earthquake,Peru,-12.69,-76.065,3,peru earthquake
1982,Earthquake,Poland,50.21 N,18.51 E,0,poland earthquake
1983,Earthquake,Philippines (the),18.231,120.86,19,philippines (the) earthquake
1983,Earthquake,Iran (Islamic Republic of),35.953,52.264,30,iran (islamic republic of) earthquake
1983,Earthquake,Japan,35.5,139.07,1,japan earthquake
1983,Earthquake,Japan,40.462,139.102,102,japan earthquake
1983,Earthquake,Indonesia,5.723,94.722,0,indonesia earthquake
1983,Earthquake,Iran (Islamic Republic of),36.948,49.18,3,iran (islamic republic of) earthquake
1983,Earthquake,Italy,40.50 N,14.15 E,0,italy earthquake
1983,Earthquake,Pakistan,36.372,70.738,24,pakistan earthquake
1983,Earthquake,Peru,-4.843,-78.103,10,peru earthquake
1983,Earthquake,Papua New Guinea,5.392,151.868,10,papua new guinea earthquake
1983,Volcanic activity,Papua New Guinea,-4.271,152.203,0,papua new guinea volcanic activity
1984,Earthquake,Japan,36.39 N,138.10 E,20,japan earthquake
1984,Earthquake,Japan,32.50 N,130.42 E,0,japan earthquake
1984,Earthquake,Indonesia,2.41 S,118.55 E,2,indonesia earthquake
1984,Earthquake,Indonesia,1.3 S,98.0 E,0,indonesia earthquake
1984,Earthquake,India,24.40 N,92.34 E,20,india earthquake
1984,Earthquake,Italy,43.07 N,12.23 E,0,italy earthquake
1984,Earthquake,Italy,42.10 N,13.50 E,3,italy earthquake
1984,Earthquake,Italy,37.31 N,15.06 E,1,italy earthquake
1984,Earthquake,Pakistan,34.07 N,71.15 E,4,pakistan earthquake
1985,Earthquake,Indonesia,-4.13,136.049,10,indonesia earthquake
1985,Earthquake,Iran (Islamic Republic of),28.399,52.997,1,iran (islamic republic of) earthquake
1985,Earthquake,Mexico,18.19,-102.533,9500,mexico earthquake
1985,Earthquake,Pakistan,36.19,70.896,5,pakistan earthquake
1985,Earthquake,Peru,-9.159,-78.887,0,peru earthquake
1985,Earthquake,Philippines (the),7.758,123.544,2,philippines (the) earthquake
1985,Earthquake,Papua New Guinea,-5.599,151.045,0,papua new guinea earthquake
1986,Earthquake,Papua New Guinea,4.0 S,142.0 E,0,papua new guinea earthquake
1986,Earthquake,India,32.128 N,76.374 E,6,india earthquake
1986,Earthquake,Iran (Islamic Republic of),29.962 N,51.582 E,1,iran (islamic republic of) earthquake
1986,Earthquake,Iran (Islamic Republic of),29.985 N,51.623 E,0,iran (islamic republic of) earthquake
1986,Earthquake,Pakistan,27.727 N,66.650 E,0,pakistan earthquake
1986,Earthquake,Peru,13.32 S,71.57 W,15,peru earthquake
1986,Earthquake,Peru,9.505 S,77.512 W,1,peru earthquake
1987,Earthquake,Indonesia,-8.247,124.155,125,indonesia earthquake
1987,Earthquake,Papua New Guinea,-6.088,147.689,1,papua new guinea earthquake
1987,Earthquake,Indonesia,2.244,98.866,2,indonesia earthquake
1987,Earthquake,Iran (Islamic Republic of),34.076,48.266,2,iran (islamic republic of) earthquake
1987,Earthquake,Japan,35.38,140.214,2,japan earthquake
1987,Earthquake,Mexico,33.015,-115.852,2,mexico earthquake
1987,Earthquake,New Zealand,-37.965,176.765,1,new zealand earthquake
1988,Earthquake,India,26.755,616,382,india earthquake
1988,Earthquake,Iran (Islamic Republic of),29.974,51.679,1,iran (islamic republic of) earthquake
1988,Earthquake,Iran (Islamic Republic of),30.89,50.194,0,iran (islamic republic of) earthquake
1988,Earthquake,Nepal,26.755,86.616,709,nepal earthquake
1978,Earthquake,Turkey,36.69,39.79,0,turkey earthquake
1979,Earthquake,Yugoslavia,42.096,19.209,121,yugoslavia earthquake
1979,Earthquake,Yugoslavia,42.255,18.752,0,yugoslavia earthquake
1980,Earthquake,Yugoslavia,43.294,20.837,0,yugoslavia earthquake
1980,Earthquake,Venezuela (Bolivarian Republic of),8.045,-72.441,0,venezuela (bolivarian republic of) earthquake
1981,Earthquake,Yugoslavia,44.849,17.312,0,yugoslavia earthquake
1982,Earthquake,El Salvador,13.332,-89.387,20,el salvador earthquake
1982,Earthquake,Yemen Arab Rep,14.701,44.379,1507,yemen arab rep earthquake
1983,Earthquake,United States of America (the),19.43,-155.454,0,united states of america (the) earthquake
1983,Earthquake,Soviet Union,39.042,48.714,0,soviet union earthquake
1983,Earthquake,Turkey,40.33,42.187,1346,turkey earthquake
1983,Earthquake,United States of America (the),36.219,-120.317,0,united states of america (the) earthquake
1983,Earthquake,United States of America (the),43.974,-113.916,2,united states of america (the) earthquake
1983,Earthquake,Yugoslavia,41.959,21.54,12,yugoslavia earthquake
1984,Earthquake,Turkey,40.89 N,42.22 E,3,turkey earthquake
1984,Earthquake,Turkey,40.55 N,42.40 E,3,turkey earthquake
1985,Earthquake,Soviet Union,36.19,70.896,0,soviet union earthquake
1985,Earthquake,Soviet Union,40.301,69.823,29,soviet union earthquake
1985,Earthquake,Turkey,40.31,42.307,0,turkey earthquake
1985,Earthquake,Yugoslavia,41.581,22.254,0,yugoslavia earthquake
1986,Earthquake,El Salvador,13.40 N,89.10 W,1100,el salvador earthquake
1986,Earthquake,Soviet Union,26,46.5,1,soviet union earthquake
1986,Earthquake,Soviet Union,41.431,43.737,2,soviet union earthquake
1986,Earthquake,Turkey,37.993 N,37.806 E,15,turkey earthquake
1986,Earthquake,Turkey,37.931 N,28.574 E,0,turkey earthquake
1986,Earthquake,United States of America (the),32.978 N,117.858 W,0,united states of america (the) earthquake
1986,Earthquake,Venezuela (Bolivarian Republic of),10.770 N,69.428 W,1,venezuela (bolivarian republic of) earthquake
1987,Earthquake,United States of America (the),34.061,-118.079,8,united states of america (the) earthquake
1987,Earthquake,United States of America (the),33.013,115.838,0,united states of america (the) earthquake
1988,Earthquake,Uganda,3.02 N,30.56 E,0,uganda earthquake
1988,Earthquake,Soviet Union,40.987,44.185,25000,soviet union earthquake
1988,Earthquake,Albania,41.246,19.63,0,albania earthquake
1989,Earthquake,Algeria,36.788,2.448,22,algeria earthquake
1989,Earthquake,Australia,-32.967,151.619,12,australia earthquake
1989,Earthquake,Bangladesh,21.861,89.763,1,bangladesh earthquake
1989,Earthquake,China,29.987,99.195,8,china earthquake
1989,Earthquake,China,39.893,113.884,29,china earthquake
1989,Earthquake,China,23.553,99.526,1,china earthquake
1989,Earthquake,China,29.882,106.804,4,china earthquake
1989,Earthquake,China,31.583,102.433,0,china earthquake
1990,Earthquake,Ecuador,0.259 S,78.449 W,4,ecuador earthquake
1990,Earthquake,Bulgaria,45.841,26.668,1,bulgaria earthquake
1990,Earthquake,China,37.001 N,103.863 E,1,china earthquake
1990,Earthquake,China,35.986 N,100.245 E,126,china earthquake
1990,Earthquake,Costa Rica,9.869 N,84.302 W ,1,costa rica earthquake
1990,Earthquake,Costa Rica,9.919 N,84.808 W,0,costa rica earthquake
1991,Earthquake,Afghanistan,37.457 N,68.273 E,24,afghanistan earthquake
1991,Earthquake,Costa Rica,9.685 N,83.073 W,47,costa rica earthquake
1991,Earthquake,Afghanistan,38.993 N,70.423 E,130,afghanistan earthquake
1991,Volcanic activity,Argentina,45.54 S,72.58 W,0,argentina volcanic activity
1991,Volcanic activity,Chile,45.54 S,72.58 W,0,chile volcanic activity
1991,Earthquake,China,40.3 N,78.9. E,0,china earthquake
1991,Earthquake,China,39.8 N,173.9 E,1,china earthquake
1991,Earthquake,Colombia,3.554 N,77.442 W,2,colombia earthquake
1991,Earthquake,Costa Rica,9.59 N,84.04 W,0,costa rica earthquake
1991,Earthquake,Costa Rica,9.542 N,82.418 W,0,costa rica earthquake
1991,Volcanic activity,Costa Rica,14.40 N,90.60 W,0,costa rica volcanic activity
1992,Earthquake,Colombia,7.123 N,7 W.887 ,11,colombia earthquake
1992,Earthquake,Afghanistan,33.377 N,71.317 E,14,afghanistan earthquake
1992,Earthquake,Belgium,51.153 N,5.798 E,0,belgium earthquake
1992,Earthquake,China,29.41 N,91.10 E,0,china earthquake
1992,Earthquake,Cuba,19.9 N,77.5 W,0,cuba earthquake
1992,Earthquake,Germany,51.153Â° N,5.798Â° E,1,germany earthquake
1992,Earthquake,Algeria,36.50 N,3.00 E,0,algeria earthquake
